Time,MotorTorque,MotorAccel,MotorVel,MotorPos
0.98,0.012979976,0.067529892,0.051756054,0.019981024
0.99,0.0131034,0.074634764,0.054783622,0.022159037
1,0.013226237,0.067441113,0.053291263,0.021149919
1.01,0.013348475,0.073948541,0.056133048,0.023214516
1.02,0.013470099,0.057110549,0.051593667,0.02006892
1.03,0.013591095,0.060434143,0.053431066,0.021441538
1.04,0.013711448,0.081443754,0.060862225,0.026778754
1.05,0.013831144,0.060829795,0.055131634,0.022818483
1.06,0.013950167,0.069025264,0.058511988,0.02530996
1.07,0.014068504,0.050393591,0.053409289,0.021812407
1.08,0.01418614,0.061842054,0.057819027,0.025050615
1.09,0.01430306,0.057731483,0.057308664,0.024819291
1.1,0.014419249,0.062379875,0.059568057,0.026556038
1.11,0.014534692,0.074326725,0.064135189,0.02993421
1.12,0.014649375,0.07388211,0.064783396,0.03055094
1.13,0.014763282,0.075333384,0.066030574,0.031600907
1.14,0.014876399,0.064742681,0.063469021,0.02996744
1.15,0.014988709,0.067648468,0.065174549,0.031361043
1.16,0.015100199,0.051590585,0.060882196,0.028523331
1.17,0.015210853,0.057115467,0.063413714,0.030520689
1.18,0.015320656,0.073792833,0.069470602,0.035020762
1.19,0.015429592,0.069529823,0.068904051,0.034847292
1.2,0.015537646,0.064371557,0.068052732,0.034482428
1.21,0.015644803,0.046940561,0.063318619,0.031382012
1.22,0.015751047,0.062078145,0.068881629,0.035572787
1.23,0.015856364,0.062137723,0.069674438,0.036400574
1.24,0.015960737,0.053579342,0.067739743,0.035309801
1.25,0.016064151,0.059935838,0.070519133,0.03756249
1.26,0.01616659,0.082042106,0.078276479,0.043345247
1.27,0.01626804,0.051163606,0.069275864,0.037288476
1.28,0.016368484,0.038980786,0.066184492,0.035420329
1.29,0.016467907,0.027729739,0.063384781,0.033768589
1.3,0.016566293,0.046152648,0.069965663,0.038760118
1.31,0.016663627,0.046315853,0.070769044,0.039676535
1.32,0.016759893,0.040648534,0.069725235,0.039297001
1.33,0.016855075,0.071986038,0.080379823,0.0471997
1.34,0.016949157,0.060621957,0.077527292,0.045561648
1.35,0.017042125,0.056909642,0.07709063,0.045642103
1.36,0.017133961,0.053667012,0.07679853,0.045835011
1.37,0.017224652,0.019986293,0.066876888,0.03922908
1.38,0.01731418,0.064810218,0.081776368,0.050184563
1.39,0.017402529,0.047457955,0.07700961,0.047244164
1.4,0.017489686,0.037375277,0.074537161,0.045936337
